run_id,condition,response,task_id,complexity,group
14,1,5,59.0,high,A
14,1,4,13.0,low,A
14,1,4,39.0,medium,A
2,1,4,11.0,low,A
2,1,3,39.0,medium,A
2,1,6,19.0,medium,A
2,1,6,30.0,medium,A
2,1,1,7.0,low,A
2,1,7,62.0,high,A
2,1,3,46.0,high,A
2,1,6,25.0,medium,A
2,1,4,33.0,medium,A
2,1,2,50.0,high,A
2,1,3,44.0,high,A
2,1,3,22.0,medium,A
2,1,3,53.0,high,A
2,1,5,13.0,low,A
2,1,5,2.0,low,A
2,1,5,59.0,high,A
20,2,1,31.0,medium,B
20,2,6,26.0,medium,B
20,2,6,17.0,medium,B
20,2,7,8.0,low,B
20,2,2,9.0,low,B
20,2,2,1.0,low,B
20,2,2,51.0,high,B
20,2,6,54.0,high,B
20,2,5,37.0,medium,B
20,2,6,35.0,medium,B
20,2,3,47.0,high,B
20,2,2,64.0,high,B
20,2,3,14.0,low,B
20,2,4,60.0,high,B
20,2,2,23.0,medium,B
20,2,4,43.0,high,B
23,4,7,29.0,medium,D
23,4,4,40.0,medium,D
23,4,5,24.0,medium,D
23,4,6,42.0,high,D
23,4,2,57.0,high,D
23,4,5,48.0,high,D
23,4,4,3.0,low,D
23,4,7,12.0,low,D
23,4,2,34.0,medium,D
23,4,6,61.0,high,D
23,4,3,55.0,high,D
23,4,4,16.0,low,D
23,4,5,6.0,low,D
23,4,2,49.0,high,D
23,4,2,28.0,medium,D
23,4,2,18.0,medium,D
19,1,7,62.0,high,A
19,1,3,39.0,medium,A
19,1,5,2.0,low,A
19,1,5,13.0,low,A
19,1,5,59.0,high,A
19,1,4,46.0,high,A
19,1,4,11.0,low,A
19,1,5,19.0,medium,A
19,1,3,22.0,medium,A
19,1,4,33.0,medium,A
19,1,1,7.0,low,A
19,1,2,50.0,high,A
19,1,4,53.0,high,A
19,1,6,25.0,medium,A
19,1,5,30.0,medium,A
19,1,3,44.0,high,A
17,4,4,16.0,low,D
17,4,6,6.0,low,D
17,4,5,48.0,high,D
17,4,7,12.0,low,D
17,4,6,61.0,high,D
17,4,6,24.0,medium,D
17,4,3,40.0,medium,D
17,4,2,18.0,medium,D
17,4,4,3.0,low,D
17,4,7,29.0,medium,D
17,4,1,34.0,medium,D
17,4,6,42.0,high,D
17,4,1,57.0,high,D
17,4,5,55.0,high,D
17,4,3,28.0,medium,D
17,4,2,49.0,high,D
18,3,4,21.0,medium,C
18,3,5,56.0,high,C
18,3,4,4.0,low,C
18,3,5,63.0,high,C
18,3,3,36.0,medium,C
18,3,2,41.0,high,C
18,3,5,10.0,low,C
18,3,5,32.0,medium,C
18,3,4,45.0,high,C
18,3,5,58.0,high,C
18,3,3,15.0,low,C
18,3,4,20.0,medium,C
18,3,3,27.0,medium,C
18,3,6,38.0,medium,C
18,3,3,52.0,high,C
18,3,4,5.0,low,C
24,2,6,8.0,low,B
24,2,5,47.0,high,B
24,2,2,31.0,medium,B
24,2,3,43.0,high,B
24,2,4,60.0,high,B
24,2,2,23.0,medium,B
24,2,6,54.0,high,B
24,2,6,37.0,medium,B
24,2,2,14.0,low,B
24,2,6,35.0,medium,B
24,2,2,51.0,high,B
24,2,2,9.0,low,B
24,2,2,64.0,high,B
24,2,3,26.0,medium,B
24,2,2,1.0,low,B
24,2,6,17.0,medium,B
25,4,6,55.0,high,D
25,4,6,6.0,low,D
25,4,3,40.0,medium,D
25,4,2,18.0,medium,D
25,4,6,61.0,high,D
25,4,5,42.0,high,D
25,4,7,12.0,low,D
25,4,4,3.0,low,D
25,4,4,16.0,low,D
25,4,2,57.0,high,D
25,4,3,49.0,high,D
25,4,5,48.0,high,D
25,4,4,24.0,medium,D
25,4,1,34.0,medium,D
25,4,2,28.0,medium,D
25,4,7,29.0,medium,D
26,3,2,4.0,low,C
26,3,4,5.0,low,C
26,3,5,38.0,medium,C
26,3,5,21.0,medium,C
26,3,3,52.0,high,C
26,3,5,10.0,low,C
26,3,5,32.0,medium,C
26,3,3,15.0,low,C
26,3,3,36.0,medium,C
26,3,4,20.0,medium,C
26,3,5,45.0,high,C
26,3,3,27.0,medium,C
26,3,5,58.0,high,C
26,3,5,63.0,high,C
26,3,3,56.0,high,C
26,3,3,41.0,high,C
22,1,6,30.0,medium,A
22,1,1,7.0,low,A
22,1,6,19.0,medium,A
22,1,5,46.0,high,A
22,1,2,13.0,low,A
22,1,2,44.0,high,A
22,1,4,11.0,low,A
22,1,6,2.0,low,A
22,1,2,22.0,medium,A
22,1,6,25.0,medium,A
22,1,2,39.0,medium,A
22,1,2,50.0,high,A
22,1,7,62.0,high,A
22,1,6,33.0,medium,A
22,1,6,59.0,high,A
22,1,2,53.0,high,A
21,3,6,10.0,low,C
21,3,4,5.0,low,C
21,3,6,38.0,medium,C
21,3,6,63.0,high,C
21,3,2,4.0,low,C
21,3,2,15.0,low,C
21,3,2,52.0,high,C
21,3,4,20.0,medium,C
21,3,4,32.0,medium,C
21,3,5,45.0,high,C
21,3,5,41.0,high,C
21,3,3,36.0,medium,C
21,3,4,21.0,medium,C
21,3,5,56.0,high,C
21,3,2,27.0,medium,C
